,STATION_ID,NUM_DOCKS_AVAILABLE,NUM_MECHANICAL,NUM_E_BIKES,NAME,LAT,LON,FREQUENCY_AVAILABLE_DOCKS
1408,12806084887,36,1,2,Avenir,48.8103438,2.3003776,0.9231
1113,653079520,6,4,8,Averroès - Aimé Césaire,48.91405323432864,2.412636950612068,0.3333
1287,1062807847,2,39,17,BNF - Bibliothèque Nationale de France,48.8350268238,2.3760157451034,0.0345
1026,486833337,9,6,15,Bachaumont - Montmartre,48.86617395079137,2.3449775576591496,0.3
871,221043930,26,0,9,Bagnolet - Orteaux,48.85708641027236,2.3984125256538396,0.7429
422,74864208,24,1,2,Bagnolet - Place Saint-Blaise,48.85973,2.40334,0.8889
324,54000592,2,31,3,Balard - Montagne de la Fage,48.83850740333351,2.2782871127128606,0.0556
270,49791363,16,3,11,Balzac - Champs Elysées,48.872699639621,2.3001953959465,0.5333
1243,1057221951,4,18,3,Balzac - Olympes de Gouges,48.77850332486751,2.4006786569952965,0.16
987,434419150,25,9,2,Bara - Henri Farman,48.833218027457846,2.2677567601203923,0.6944
1306,1063421211,37,2,1,Barbès - Monique Maunoury,48.81552718820216,2.3687169334905405,0.925
1293,1062882947,19,1,1,Bargue -  Dutot,48.837884,2.308876,0.9048
1301,1063044618,4,14,10,Bas - Gabriel Péri,48.91585580539625,2.2948095202445984,0.1429
1362,2515829865,5,9,6,Basilique,48.93626891059109,2.3588666820200914,0.25
20,7304,10,0,5,Bassano -  Iéna,48.868144510482075,2.296149600985935,0.6667
1331,1396728955,1,19,3,Bastille - Beaumarchais,48.853833463852,2.3685702681541,0.0435
512,84986959,5,37,20,Bastille - Biscornet,48.851355779579,2.369220033288,0.0806
1226,1056979685,8,8,2,Bastille - Quai de la Rapée,48.84682410855,2.3669364675879,0.4444
1391,11437706131,5,8,1,Bateliers - Quai de Seine,48.915817585516,2.3239533298594,0.3571
708,129095489,23,1,4,Batignolles - Abel Truchet,48.88310390458221,2.323834749088381,0.8214
452,82375611,38,2,4,Batignolles - Beudant,48.88216401466375,2.319852970540523,0.8636
858,215495494,40,1,6,Batignolles - Place de Clichy,48.88347453575669,2.326493114233017,0.8511
454,82381710,9,2,3,Batignolles - Rome,48.881823370566806,2.3202589899301524,0.6429
329,54000597,19,3,0,Bayen - Pereire,48.881804409079656,2.2921088710427284,0.8636
374,66491367,2,11,2,Beaubourg - Michel-le-Comte,48.862534941806,2.3543103039265,0.1333
874,224256188,28,0,1,Beaujon - Wagram,48.875352455985,2.2964416444302,0.9655
919,284711589,14,1,3,Beaumarchais - Pas de la Mule,48.855580507049055,2.368433367343057,0.7778
909,266963426,26,16,8,Beaumarchais - Saint-Gilles,48.8580378,2.3679352,0.52
756,210405211,10,5,5,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,0.5
103,27362896,17,2,7,Beffroy,48.886591074487995,2.261394560337067,0.6538
1342,1981490798,18,1,3,Belfort - Victor Hugo,48.9018492,2.3172724,0.8182
251,43165673,25,9,4,Belfort - Voltaire,48.8563358,2.3829901,0.6579
439,80216231,37,2,0,Belidor - Gouvion-Saint-Cyr,48.88022154052015,2.2854680567979813,0.9487
1101,653059015,24,3,3,Bellefond - Maubeuge,48.878255397645,2.3452642187476,0.8
673,129004826,13,0,4,Bellefond - Poissonnière,48.87759897050706,2.348463758826256,0.7647
698,129080400,19,1,2,Belles Feuilles - Place de Mexico,48.865804746474,2.2829206287861,0.8636
48,52474,20,0,1,Belleville -  Pré Saint-Gervais,48.875565910073,2.3930460959673,0.9524
717,129121741,43,1,5,Belleville - Couronnes,48.868831082877,2.3809862136841,0.8776
714,129114993,30,0,2,Belleville - Porte des Lilas,48.87660391892763,2.404769691129476,0.9375
896,256124192,39,0,1,Belleville - Pyrénées,48.8741908,2.3860039,0.975
641,124402232,37,0,2,Belleville - Télégraphe,48.8756045,2.3995549,0.9487
603,102313219,28,1,4,Belliard - Damrémont,48.89669238777841,2.338023450388167,0.8485
486,82562496,10,5,3,Benjamin Delessert - Jean Lolive,48.89392043619345,2.417981922626496,0.5556
810,213688169,33,0,2,Benjamin Godard - Victor Hugo,48.865983,2.275725,0.9429
102,27359295,28,1,1,Benoît Frachon - République,48.85230729014318,2.415605485439301,0.9333
120,27363389,7,14,4,Bercy - Traversiére,48.846192642574,2.3703800886869,0.28
577,101013666,5,25,20,Bercy - Villot,48.841795009027,2.3767850184816,0.1
145,27415012,6,55,1,Bercy.,48.839966914994,2.3788625746965,0.0968
218,39296638,34,0,1,Berri - Haussmann,48.874746047357135,2.3082953318953514,0.9714
958,365886904,31,3,0,Berthier - Place Stuart Merril,48.885927922355044,2.2933450341224675,0.9118
1119,653085678,7,12,3,Berthier - Porte de Clichy,48.894222687781,2.3125872006816,0.3182
455,82387816,29,1,1,Bertie Albrecht - Hoche,48.87614039826388,2.301303138307601,0.9355
353,54000627,7,9,4,Bertrand Sincholle - Henri Barbusse,48.89925982394349,2.3042294383049016,0.35
1029,488889101,12,14,3,Bessières - Porte de Clichy,48.89611762451474,2.31790903955698,0.4138
1281,1062685145,0,11,2,Bibliothèque Nationale - Richelieu,48.868288993515,2.3380893096328,0.0
1405,12196660096,24,1,3,Bichat - Grange aux Belles,48.873688,2.365015,0.8571
739,205955605,33,2,0,Bienfaisance - Place de Narvik,48.87660163459077,2.3129771277308464,0.9429
1210,1021176825,7,13,2,Billancourt - Général Leclerc ,48.8322649,2.2380413,0.3182
359,54000634,19,3,3,Bineau - Louise Michel,48.88666162206972,2.2843274474143986,0.76
154,27415224,3,23,3,Bir Hakeim,48.853844054333514,2.289705348222022,0.1034
427,75641607,25,2,4,Blaise-Desgoffe - Vaugirard,48.846128877747,2.3242672160268,0.8065
284,54000542,12,14,1,Blancs-Manteaux - Archives,48.85941800703,2.3559471219778,0.4444
1386,11146714746,14,7,6,Blanqui - Docteur Bauer,48.907735489085,2.3407192814591,0.5185
950,349750111,24,4,1,Bleue - Trévise,48.87578906564573,2.347289621829987,0.8276
242,42588096,26,0,2,Bobillot - Moulin des Prés,48.828657346203094,2.353020646316964,0.9286
149,27415150,17,1,3,Bobillot - Paulin Mery,48.829899841747384,2.3543356766748507,0.8095
314,54000578,26,2,3,Bobillot - Tolbiac,48.8255961335041,2.350204177200794,0.8387
887,244498842,47,1,1,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,0.9592
467,82425449,48,0,3,Bois de Vincennes - Polygone,48.83544491617421,2.431421081436563,0.9412
1110,653076373,13,19,1,Bois de Vincennes - Porte Jaune,48.838751246689455,2.4605489149689674,0.3939
999,452936197,42,9,9,Bois de Vincennes.,48.8338064,2.4132221,0.7
1062,583178525,16,0,5,Boissière - Etienne Dolet,48.876111,2.4677312,0.7619
1387,11218473640,22,0,2,Bons Raisins - Voltaire,48.87282451461399,2.1947155570850896,0.9167
1057,571923059,41,2,4,Bordier - Félix Faure,48.90390751882016,2.3830059170722966,0.8723
1356,2515686699,25,0,0,Borrégo - Gambetta,48.87330497045532,2.4014145880937576,1.0
663,128890772,8,18,2,Bosquet - Saint-Dominique,48.85865170952645,2.303716580234576,0.2857
926,292871105,12,0,9,Botzaris - Crimée,48.87959698690176,2.3887913337477067,0.5714
825,213694482,17,1,2,Botzaris - Parc des Buttes Chaumont,48.877951,2.381464,0.85
769,210582921,13,0,1,Boudreau - Auber,48.87219,2.329423,0.9286
416,72765603,13,3,3,Boulangers - Cardinal Lemoine,48.8462904,2.3521495,0.6842
586,101740379,40,0,4,Boulard - Daguerre,48.83446472680611,2.3293386027216907,0.9091
565,100906707,43,0,0,Boulets - Faubourg Saint-Antoine,48.849259262115,2.3917546141943,1.0
1021,478952881,17,5,1,Boulets - Voltaire,48.85218705621,2.3890301585197,0.7391
904,265201872,11,37,2,Bourdon - Pont Morland,48.8478103,2.3659356,0.22
562,100893610,14,20,20,Bourdonnais - Tour Eiffel,48.860897797941,2.295599598447,0.2593
1282,1062704564,2,26,14,Bourg l'Abbé - Saint-Martin,48.86393331949257,2.352406270802021,0.0476
946,338824395,6,5,6,Bourse du Travail,48.868976638825686,2.362343855202198,0.3529
147,27415123,22,3,2,Boussingault - Tolbiac,48.82603516605852,2.342176808004326,0.8148
787,213675430,10,36,3,Boutroux - Porte de Vitry,48.822632,2.377738,0.2041
830,213702608,17,0,1,Boyer - Ménilmontant,48.86889516267913,2.3919824145634565,0.9444
857,214298601,19,3,0,Boyer-Barret - Raymond Losserand,48.83329880233322,2.3173383995890617,0.8636
670,128986726,29,3,0,Boétie - Ponthieu,48.871417284354834,2.307678759098053,0.9062
1437,16560752067,0,0,0,Bracion - Périphérique,48.826103771275,2.3004549373748,
929,303102719,5,2,4,Brancion - Lefebvre,48.82900222785569,2.301431038163409,0.4545
1200,979059925,19,2,8,Bridaine - Lamandé,48.8862074,2.3206239,0.6552
790,213677219,11,5,3,Brillat-Savarin - Küss,48.822203,2.350422,0.5789
490,82566934,47,2,3,Brochant - Clichy,48.89032998912038,2.319730559929781,0.9038
704,129089749,28,0,3,Brochant - Square des Batignolles ,48.88818698581028,2.316861143151153,0.9032
65,13912564,13,9,3,Bruant - Vincent Auriol,48.83484845292942,2.366826499627087,0.52
1114,653080383,4,33,7,Bruneseau - Quai d'Ivry,48.82494563758295,2.388566136360169,0.0909
555,100790494,18,0,5,Bréa - Raspail,48.842738478257814,2.329794221763396,0.7826
118,27363337,22,5,3,Bréguet - Sabin,48.856931678257,2.3706749462105,0.7333
1284,1062783107,4,19,4,Buffon - Jardin des Plantes,48.842668466104875,2.3618587106466293,0.1481
913,271426439,12,2,3,Buisson Saint-Louis - Saint-Maur,48.87174684930295,2.3722528328789854,0.7059
911,268976295,21,4,7,Butte aux Cailles - Esperance,48.82758774190948,2.3492151126265526,0.6562
342,54000615,39,2,9,Buzenval - Avron,48.851617204998654,2.401513597307666,0.78
